x,y,z
-5.0,-5.0,1.9204435469145362
-5.0,-4.9,1.8463426691071054
-5.0,-4.800000000000001,1.767626896183581
-5.0,-4.7,1.6844929765818886
-5.0,-4.6000000000000005,1.5971487018057262
-5.0,-4.5,1.5058123870540132
-5.0,-4.4,1.410712325546597
-5.0,-4.3,1.3120862179100905
-5.0,-4.2,1.2101805780501027
-5.0,-4.1000000000000005,1.1052501169948508
-5.0,-4.0,0.9975571062502449
-5.0,-3.9000000000000004,0.8873707222577123
-5.0,-3.8000000000000003,0.7749663735932735
-5.0,-3.7,0.6606250125895368
-5.0,-3.6,0.5446324331011821
-5.0,-3.5,0.42727855616916244
-5.0,-3.4000000000000004,0.3088567053690908
-5.0,-3.3000000000000003,0.1896628736550587
-5.0,-3.2,0.06999498353140414
-5.0,-3.1,-0.04984785759839622
-5.0,-3.0,-0.16956610504446296
-5.0,-2.9000000000000004,-0.2888605255362384
-5.0,-2.8000000000000003,-0.4074329451498275
-5.0,-2.7,-0.5249869945875179
-5.0,-2.6,-0.641228849946681
-5.0,-2.5,-0.7558679671265068
-5.0,-2.4000000000000004,-0.8686178080369434
-5.0,-2.3000000000000003,-0.979196556794698
-5.0,-2.2,-1.0873278241161743
-5.0,-2.1,-1.1927413381467444
-5.0,-2.0,-1.2951736199996287
-5.0,-1.9000000000000001,-1.3943686423158956
-5.0,-1.8,-1.4900784691995241
-5.0,-1.7000000000000002,-1.582063875928019
-5.0,-1.6,-1.6700949468896333
-5.0,-1.5,-1.7539516502526582
-5.0,-1.4000000000000001,-1.8334243879304128
-5.0,-1.3,-1.9083145194673048
-5.0,-1.2000000000000002,-1.978434858536518
-5.0,-1.1,-2.0436101408083465
-5.0,-1.0,-2.1036774620197414
-5.0,-0.9,-2.1584866851501303
-5.0,-0.8,-2.207900815685779
-5.0,-0.7000000000000001,-2.2517963440347297
-5.0,-0.6000000000000001,-2.29006355423646
-5.0,-0.5,-2.3226067981946428
-5.0,-0.4,-2.3493447347475764
-5.0,-0.30000000000000004,-2.370210532978727
-5.0,-0.2,-2.3851520392592147
-5.0,-0.1,-2.3941319076047236
-5.0,0.0,-2.397127693021015
-5.0,0.1,-2.3941319076047236
-5.0,0.2,-2.3851520392592147
-5.0,0.30000000000000004,-2.370210532978727
-5.0,0.4,-2.3493447347475764
-5.0,0.5,-2.3226067981946428
-5.0,0.6000000000000001,-2.29006355423646
-5.0,0.7000000000000001,-2.2517963440347297
-5.0,0.8,-2.207900815685779
-5.0,0.9,-2.1584866851501303
-5.0,1.0,-2.1036774620197414
-5.0,1.1,-2.0436101408083465
-5.0,1.2000000000000002,-1.978434858536518
-5.0,1.3,-1.9083145194673048
-5.0,1.4000000000000001,-1.8334243879304128
-5.0,1.5,-1.7539516502526582
-5.0,1.6,-1.6700949468896333
-5.0,1.7000000000000002,-1.582063875928019
-5.0,1.8,-1.4900784691995241
-5.0,1.9000000000000001,-1.3943686423158956
-5.0,2.0,-1.2951736199996287
-5.0,2.1,-1.1927413381467444
-5.0,2.2,-1.0873278241161743
-5.0,2.3000000000000003,-0.979196556794698
-5.0,2.4000000000000004,-0.8686178080369434
-5.0,2.5,-0.7558679671265068
-5.0,2.6,-0.641228849946681
-5.0,2.7,-0.5249869945875179
-5.0,2.8000000000000003,-0.4074329451498275
-5.0,2.9000000000000004,-0.2888605255362384
-5.0,3.0,-0.16956610504446296
-5.0,3.1,-0.04984785759839622
-5.0,3.2,0.06999498353140414
-5.0,3.3000000000000003,0.1896628736550587
-5.0,3.4000000000000004,0.3088567053690908
-5.0,3.5,0.42727855616916244
-5.0,3.6,0.5446324331011821
-5.0,3.7,0.6606250125895368
-5.0,3.8000000000000003,0.7749663735932735
-5.0,3.9000000000000004,0.8873707222577123
-5.0,4.0,0.9975571062502449
-5.0,4.1000000000000005,1.1052501169948508
-5.0,4.2,1.2101805780501027
-5.0,4.3,1.3120862179100905
-5.0,4.4,1.410712325546597
-5.0,4.5,1.5058123870540132
-5.0,4.6000000000000005,1.5971487018057262
-5.0,4.7,1.6844929765818886
-5.0,4.800000000000001,1.767626896183581
-5.0,4.9,1.8463426691071054
-4.9,-5.0,1.8851946280971426
-4.9,-4.9,1.8124538401659949
-4.9,-4.800000000000001,1.7351828615421456
-4.9,-4.7,1.653574829430205
-4.9,-4.6000000000000005,1.5678337214098141
-4.9,-4.5,1.4781738455979154
-4.9,-4.4,1.3848193049900799
-4.9,-4.3,1.288003437319721
-4.9,-4.2,1.1879682318352869
-4.9,-4.1000000000000005,1.0849637244531596
-4.9,-4.0,0.9792473727980833
-4.9,-3.9000000000000004,0.8710834126931859
-4.9,-3.8000000000000003,0.7607421977080269
-4.9,-3.7,0.6484995234154755
-4.9,-3.6,0.5346359380464084
-4.9,-3.5,0.4194360412652394
-4.9,-3.4000000000000004,0.3031877728189755
-4.9,-3.3000000000000003,0.18618169283780336
-4.9,-3.2,0.06871025558608794
-4.9,-3.1,-0.04893292152098333
-4.9,-3.0,-0.16645379180802503
-4.9,-2.9000000000000004,-0.28355861430300516
-4.9,-2.8000000000000003,-0.3999546879366999
-4.9,-2.7,-0.5153510831429278
-4.9,-2.6,-0.6294593690309541
-4.9,-2.5,-0.7419943343125055
-4.9,-2.4000000000000004,-0.8526747001814543
-4.9,-2.3000000000000003,-0.9612238233643495
-4.9,-2.2,-1.067370387584524
-4.9,-2.1,-1.1708490817114892
-4.9,-2.0,-1.27140126290059
-4.9,-1.9000000000000001,-1.368775603065417
-4.9,-1.8,-1.4627287170671341
-4.9,-1.7000000000000002,-1.5530257710505735
-4.9,-1.6,-1.639441069406573
-4.9,-1.5,-1.72175861889346
-4.9,-1.4000000000000001,-1.799772668507668
-4.9,-1.3,-1.8732882237540935
-4.9,-1.2000000000000002,-1.9421215340307811
-4.9,-1.1,-2.006100551909735
-4.9,-1.0,-2.065065363165885
-4.9,-0.9,-2.1188685864793713
-4.9,-0.8,-2.1673757418120876
-4.9,-0.7000000000000001,-2.21046558653774
-4.9,-0.6000000000000001,-2.2480304184852713
-4.9,-0.5,-2.2799763451381994
-4.9,-0.4,-2.306223518317009
-4.9,-0.30000000000000004,-2.3267063337580165
-4.9,-0.2,-2.3413735950898635
-4.9,-0.1,-2.350188641797782
-4.9,0.0,-2.3531294408557906
-4.9,0.1,-2.350188641797782
-4.9,0.2,-2.3413735950898635
-4.9,0.30000000000000004,-2.3267063337580165
-4.9,0.4,-2.306223518317009
-4.9,0.5,-2.2799763451381994
-4.9,0.6000000000000001,-2.2480304184852713
-4.9,0.7000000000000001,-2.21046558653774
-4.9,0.8,-2.1673757418120876
-4.9,0.9,-2.1188685864793713
-4.9,1.0,-2.065065363165885
-4.9,1.1,-2.006100551909735
-4.9,1.2000000000000002,-1.9421215340307811
-4.9,1.3,-1.8732882237540935
-4.9,1.4000000000000001,-1.799772668507668
-4.9,1.5,-1.72175861889346
-4.9,1.6,-1.639441069406573
-4.9,1.7000000000000002,-1.5530257710505735
-4.9,1.8,-1.4627287170671341
-4.9,1.9000000000000001,-1.368775603065417
-4.9,2.0,-1.27140126290059
-4.9,2.1,-1.1708490817114892
-4.9,2.2,-1.067370387584524
-4.9,2.3000000000000003,-0.9612238233643495
-4.9,2.4000000000000004,-0.8526747001814543
-4.9,2.5,-0.7419943343125055
-4.9,2.6,-0.6294593690309541
-4.9,2.7,-0.5153510831429278
-4.9,2.8000000000000003,-0.3999546879366999
-4.9,2.9000000000000004,-0.28355861430300516
-4.9,3.0,-0.16645379180802503
-4.9,3.1,-0.04893292152098333
-4.9,3.2,0.06871025558608794
