x,y,z
-5.0,-5.0,1.8136192134165572
-5.0,-4.9,1.8568366128485951
-5.0,-4.800000000000001,1.703100247112474
-5.0,-4.7,1.658511541023853
-5.0,-4.6000000000000005,1.359224473370055
-5.0,-4.5,1.5408028124537076
-5.0,-4.4,1.2402339217310134
-5.0,-4.3,1.3653620664660029
-5.0,-4.2,1.0075884397309345
-5.0,-4.1000000000000005,1.3694222519128774
-5.0,-4.0,0.7966492503142308
-5.0,-3.9000000000000004,1.0047130738616148
-5.0,-3.8000000000000003,0.6450224854216536
-5.0,-3.7,0.6924644063408836
-5.0,-3.6,0.41908236921975783
-5.0,-3.5,0.31530189442526546
-5.0,-3.4000000000000004,0.2780206889020711
-5.0,-3.3000000000000003,-0.02050231535129135
-5.0,-3.2,0.19347251091952417
-5.0,-3.1,-0.30556823021402124
-5.0,-3.0,-0.09745495515956727
-5.0,-2.9000000000000004,-0.8443293629313859
-5.0,-2.8000000000000003,-0.7090680970801575
-5.0,-2.7,-0.6521591571145534
-5.0,-2.6,-1.0568680051034067
-5.0,-2.5,-0.6224813399751642
-5.0,-2.4000000000000004,-0.91763957076075
-5.0,-2.3000000000000003,-1.0649100633619688
-5.0,-2.2,-0.9764887314826911
-5.0,-2.1,-1.0705544715324264
-5.0,-2.0,-1.7095306828087955
-5.0,-1.9000000000000001,-1.286364200529818
-5.0,-1.8,-1.4658353936413144
-5.0,-1.7000000000000002,-1.347712153494881
-5.0,-1.6,-1.4212197996584208
-5.0,-1.5,-1.62553197116572
-5.0,-1.4000000000000001,-1.4256856947772232
-5.0,-1.3,-1.8596367008413788
-5.0,-1.2000000000000002,-2.140070488087808
-5.0,-1.1,-1.7519710134045692
-5.0,-1.0,-2.072088055618937
-5.0,-0.9,-2.624334969477467
-5.0,-0.8,-2.1065610334476452
-5.0,-0.7000000000000001,-2.165109409673862
-5.0,-0.6000000000000001,-2.531177645052235
-5.0,-0.5,-2.4800488402782093
-5.0,-0.4,-2.446025046762635
-5.0,-0.30000000000000004,-2.333547451717656
-5.0,-0.2,-2.40438824171907
-5.0,-0.1,-2.3494124500410845
-5.0,0.0,-2.380974527556996
-5.0,0.1,-2.2148791218378254
-5.0,0.2,-2.1475519527382336
-5.0,0.30000000000000004,-2.3546126312383446
-5.0,0.4,-2.8276454356825966
-5.0,0.5,-1.866740606014019
-5.0,0.6000000000000001,-2.303056889911503
-5.0,0.7000000000000001,-2.131416400372342
-5.0,0.8,-2.3065579992559764
-5.0,0.9,-1.9030893093790913
-5.0,1.0,-2.1558304942254374
-5.0,1.1,-2.083283359340057
-5.0,1.2000000000000002,-1.9951076116793056
-5.0,1.3,-1.5614034853365044
-5.0,1.4000000000000001,-1.6480206715724577
-5.0,1.5,-1.9956615475446984
-5.0,1.6,-2.287649138821018
-5.0,1.7000000000000002,-1.7617342932915412
-5.0,1.8,-1.5451981059666153
-5.0,1.9000000000000001,-1.0085932859032638
-5.0,2.0,-1.0385405553242137
-5.0,2.1,-1.3794967938758624
-5.0,2.2,-1.030722802888261
-5.0,2.3000000000000003,-0.7710408463031441
-5.0,2.4000000000000004,-1.3128290992155442
-5.0,2.5,-0.7378862025207156
-5.0,2.6,-0.7116321255454839
-5.0,2.7,-0.631304446838667
-5.0,2.8000000000000003,-0.7349542600657508
-5.0,2.9000000000000004,-0.14975286895738638
-5.0,3.0,0.30033338128465914
-5.0,3.1,0.13800374594715656
-5.0,3.2,0.15944266516326241
-5.0,3.3000000000000003,0.2227885389023154
-5.0,3.4000000000000004,-0.00894246810514926
-5.0,3.5,0.16785408013221603
-5.0,3.6,0.45220836712492607
-5.0,3.7,0.3900546300042486
-5.0,3.8000000000000003,0.9363084522713463
-5.0,3.9000000000000004,0.4737407638184264
-5.0,4.0,1.1268719376320557
-5.0,4.1000000000000005,1.0375088422603551
-5.0,4.2,1.3346752331098828
-5.0,4.3,1.4764572699582441
-5.0,4.4,1.4723233883316098
-5.0,4.5,1.4794521182077665
-5.0,4.6000000000000005,1.7750691232265856
-5.0,4.7,1.689413250660035
-5.0,4.800000000000001,1.7986513377089597
-5.0,4.9,1.825541419510424
-4.9,-5.0,2.0688037287184713
-4.9,-4.9,1.7226915225897763
-4.9,-4.800000000000001,1.9531473013984764
-4.9,-4.7,1.5801103624674764
-4.9,-4.6000000000000005,1.4060091336844995
-4.9,-4.5,1.5349077141756369
-4.9,-4.4,1.3886551499349329
-4.9,-4.3,1.3653533997670932
-4.9,-4.2,1.1807740194728176
-4.9,-4.1000000000000005,1.3340645333828134
-4.9,-4.0,1.168893314316795
-4.9,-3.9000000000000004,0.9965008173851728
-4.9,-3.8000000000000003,0.849652139917983
-4.9,-3.7,0.6406811646677819
-4.9,-3.6,0.1617615856220872
-4.9,-3.5,0.5568234631070248
-4.9,-3.4000000000000004,0.534628448892795
-4.9,-3.3000000000000003,0.09179053145955696
-4.9,-3.2,-0.21960298479825485
-4.9,-3.1,-0.058604941211420555
-4.9,-3.0,-0.1763161248616827
-4.9,-2.9000000000000004,-0.2948667802429257
-4.9,-2.8000000000000003,-0.39829770481340654
-4.9,-2.7,-0.6890314749865937
-4.9,-2.6,-0.9379986988684789
-4.9,-2.5,-0.5598297494008939
-4.9,-2.4000000000000004,-0.798204469372389
-4.9,-2.3000000000000003,-1.4690243213033125
-4.9,-2.2,-1.1269428042323542
-4.9,-2.1,-1.3393925453374744
-4.9,-2.0,-1.5019591188228836
-4.9,-1.9000000000000001,-1.1757477181304725
-4.9,-1.8,-1.8275907426897966
-4.9,-1.7000000000000002,-1.7547140336974967
-4.9,-1.6,-1.5240080629571187
-4.9,-1.5,-1.441302658158102
-4.9,-1.4000000000000001,-2.0632337475202887
-4.9,-1.3,-1.5658880205288774
-4.9,-1.2000000000000002,-1.6872310257486134
-4.9,-1.1,-1.9028046254922435
-4.9,-1.0,-1.994065833704044
-4.9,-0.9,-2.1342485029989318
-4.9,-0.8,-2.2717428783518407
-4.9,-0.7000000000000001,-2.385488030989854
-4.9,-0.6000000000000001,-2.2140059242625036
-4.9,-0.5,-2.2503073260484063
-4.9,-0.4,-2.160999753967357
-4.9,-0.30000000000000004,-2.393614700849276
-4.9,-0.2,-2.1099718430308188
-4.9,-0.1,-2.1439845268906526
-4.9,0.0,-2.117905871044574
-4.9,0.1,-2.4785233040787924
-4.9,0.2,-2.448159839858517
-4.9,0.30000000000000004,-2.3764345838006005
-4.9,0.4,-2.0317186458124747
-4.9,0.5,-2.3468947348680995
-4.9,0.6000000000000001,-2.3964499541278066
-4.9,0.7000000000000001,-2.043409212110453
-4.9,0.8,-1.9396396735526003
-4.9,0.9,-1.9664291608262319
-4.9,1.0,-1.798772858380997
-4.9,1.1,-2.0832703090188813
-4.9,1.2000000000000002,-2.0277255523728472
-4.9,1.3,-1.7470401711053984
-4.9,1.4000000000000001,-1.828394746539285
-4.9,1.5,-1.6297173813009072
-4.9,1.6,-1.8436891198086063
-4.9,1.7000000000000002,-1.8406688047535567
-4.9,1.8,-1.3763266932230802
-4.9,1.9000000000000001,-1.39212576238585
-4.9,2.0,-1.2573512013259975
-4.9,2.1,-1.061304920362813
-4.9,2.2,-1.018685616124255
-4.9,2.3000000000000003,-0.699311200211347
-4.9,2.4000000000000004,-0.5757572773057333
-4.9,2.5,-1.0614479160813486
-4.9,2.6,-0.5481234401484932
-4.9,2.7,-0.36685063929917167
-4.9,2.8000000000000003,-0.45745813899308796
-4.9,2.9000000000000004,-0.3153369028538423
-4.9,3.0,-0.4032599422944987
